search_space,order,seasonal_order,MAE,RMSE
monthly_approximation,"(1, 0, 1)","(0, 0, 1, 30)",42.243863185954645,47.003276945307164
monthly_approximation,"(1, 0, 1)","(0, 1, 0, 30)",51.17428574695437,56.35504042689743
monthly_approximation,"(1, 0, 1)","(0, 1, 1, 30)",34.504840758295686,39.32047034233402
monthly_approximation,"(1, 0, 1)","(1, 0, 0, 30)",52.00835763387472,56.98243772880356
monthly_approximation,"(1, 0, 1)","(1, 0, 1, 30)",55.973666128304046,61.1618060645015
monthly_approximation,"(1, 0, 1)","(1, 1, 0, 30)",53.05315826895549,58.357825685641544
monthly_approximation,"(1, 0, 1)","(1, 1, 1, 30)",34.50429752541429,39.319898766282314
monthly_approximation,"(1, 0, 2)","(0, 0, 0, 30)",50.16335666662255,55.0391697769355
monthly_approximation,"(1, 0, 2)","(0, 0, 1, 30)",53.6592851903929,58.68723029976139
monthly_approximation,"(1, 0, 2)","(0, 1, 0, 30)",50.959051604266165,56.12815781436487
monthly_approximation,"(1, 0, 2)","(0, 1, 1, 30)",33.84757889679193,38.6614521758979
monthly_approximation,"(1, 0, 2)","(1, 0, 0, 30)",52.18677663625629,57.14488186476426
monthly_approximation,"(1, 0, 2)","(1, 0, 1, 30)",52.740790883405325,57.72434267818511
monthly_approximation,"(1, 0, 2)","(1, 1, 0, 30)",52.696858395312454,57.97265636948172
monthly_approximation,"(1, 0, 2)","(1, 1, 1, 30)",33.86220135467648,38.67565451882316
monthly_approximation,"(1, 1, 0)","(0, 0, 0, 30)",49.99205255408377,54.881512216046175
monthly_approximation,"(1, 1, 0)","(0, 0, 1, 30)",50.060805914646174,54.94888311819611
monthly_approximation,"(1, 1, 0)","(0, 1, 0, 30)",75.04081793010445,82.46271877351681
monthly_approximation,"(1, 1, 0)","(0, 1, 1, 30)",51.803172664433376,56.735407772873934
monthly_approximation,"(1, 1, 0)","(1, 0, 0, 30)",50.064662147306954,54.95282239201589
monthly_approximation,"(1, 1, 0)","(1, 0, 1, 30)",50.0657436074776,54.9539418669732
monthly_approximation,"(1, 1, 0)","(1, 1, 0, 30)",68.07974633796847,74.76253713881722
monthly_approximation,"(1, 1, 0)","(1, 1, 1, 30)",51.80603176948205,56.73838357114255
monthly_approximation,"(1, 1, 1)","(0, 0, 0, 30)",55.6982399903752,60.40697922632084
monthly_approximation,"(1, 1, 1)","(0, 0, 1, 30)",55.49937956344655,60.19921795445745
monthly_approximation,"(1, 1, 1)","(0, 1, 0, 30)",80.16142892481487,88.11210390643893
monthly_approximation,"(1, 1, 1)","(0, 1, 1, 30)",58.96848981455923,63.79195452229524
monthly_approximation,"(1, 1, 1)","(1, 0, 0, 30)",55.48820290856246,60.18801801165156
monthly_approximation,"(1, 1, 1)","(1, 0, 1, 30)",55.5470401744785,60.24780801147789
monthly_approximation,"(1, 1, 1)","(1, 1, 0, 30)",76.6051692629968,84.07292007471567
monthly_approximation,"(1, 1, 1)","(1, 1, 1, 30)",58.96736925237924,63.790869364492785
monthly_approximation,"(1, 1, 2)","(0, 0, 0, 30)",55.665058961851585,60.39558728670865
monthly_approximation,"(1, 1, 2)","(0, 0, 1, 30)",55.52284716849172,60.24832391535571
monthly_approximation,"(1, 1, 2)","(0, 1, 0, 30)",81.07490009268432,89.13137930059685
monthly_approximation,"(1, 1, 2)","(0, 1, 1, 30)",59.50867231823824,64.39551428776412
monthly_approximation,"(1, 1, 2)","(1, 0, 0, 30)",55.49505405830161,60.21965225772347
monthly_approximation,"(1, 1, 2)","(1, 0, 1, 30)",55.565288474371116,60.29199701170201
monthly_approximation,"(1, 1, 2)","(1, 1, 0, 30)",56.71511610257062,62.260277826406686
monthly_approximation,"(1, 1, 2)","(1, 1, 1, 30)",59.502556925795204,64.38910969068424
monthly_approximation,"(2, 0, 0)","(0, 0, 0, 30)",49.774221814594256,54.65568697840429
monthly_approximation,"(2, 0, 0)","(0, 0, 1, 30)",52.06600990235781,57.04751562245478
monthly_approximation,"(2, 0, 0)","(0, 1, 0, 30)",51.11077304264167,56.28820438501799
monthly_approximation,"(2, 0, 0)","(0, 1, 1, 30)",34.29158648960242,39.10792708519694
monthly_approximation,"(2, 0, 0)","(1, 0, 0, 30)",51.69872518863155,56.654883739652504
monthly_approximation,"(2, 0, 0)","(1, 0, 1, 30)",51.171989844111216,56.105980133391405
monthly_approximation,"(2, 0, 0)","(1, 1, 0, 30)",52.93130469944027,58.228851691993405
monthly_approximation,"(2, 0, 0)","(1, 1, 1, 30)",34.309453935569024,39.12558473693408
monthly_approximation,"(2, 0, 1)","(0, 0, 0, 30)",50.95017714459343,55.78673346951698
monthly_approximation,"(2, 0, 1)","(0, 0, 1, 30)",51.988463198718925,57.0353401616754
monthly_approximation,"(2, 0, 1)","(0, 1, 0, 30)",49.43108506674724,54.47873858684116
monthly_approximation,"(2, 0, 1)","(0, 1, 1, 30)",19.76467977373082,22.812341723342996
monthly_approximation,"(2, 0, 1)","(1, 0, 0, 30)",55.88515539710494,61.042200727222536
