search_space,order,seasonal_order,MAE,RMSE
monthly_approximation,"(1, 0, 1)","(0, 0, 1, 30)",50.70304563464762,55.49337047442835
monthly_approximation,"(1, 0, 1)","(0, 1, 0, 30)",48.891800030780836,53.66756764140528
monthly_approximation,"(1, 0, 1)","(0, 1, 1, 30)",30.499440777347647,34.890252612248354
monthly_approximation,"(1, 0, 1)","(1, 0, 0, 30)",46.83815288188639,51.423187347019194
monthly_approximation,"(1, 0, 1)","(1, 0, 1, 30)",47.46256142089446,52.08312879592067
monthly_approximation,"(1, 0, 1)","(1, 1, 0, 30)",51.68645531306253,56.630621450632965
monthly_approximation,"(1, 0, 1)","(1, 1, 1, 30)",30.502585644133138,34.89332332103716
monthly_approximation,"(1, 0, 2)","(0, 0, 0, 30)",44.941705584761955,49.42313515811889
monthly_approximation,"(1, 0, 2)","(0, 0, 1, 30)",45.99859866230844,50.51261862459949
monthly_approximation,"(1, 0, 2)","(0, 1, 0, 30)",48.71294388848977,53.481245094490724
monthly_approximation,"(1, 0, 2)","(0, 1, 1, 30)",30.192757523000754,34.579105347132355
monthly_approximation,"(1, 0, 2)","(1, 0, 0, 30)",46.88598842452395,51.46691768697521
monthly_approximation,"(1, 0, 2)","(1, 0, 1, 30)",46.991335560955754,51.570046738950175
monthly_approximation,"(1, 0, 2)","(1, 1, 0, 30)",51.17713088522718,56.086562889749004
monthly_approximation,"(1, 0, 2)","(1, 1, 1, 30)",30.193557546995873,34.57992781411851
monthly_approximation,"(1, 1, 0)","(0, 0, 0, 30)",46.08058355067184,50.62482916200813
monthly_approximation,"(1, 1, 0)","(0, 0, 1, 30)",46.088807238679195,50.632850507601766
monthly_approximation,"(1, 1, 0)","(0, 1, 0, 30)",75.38294663211946,83.06985752463872
monthly_approximation,"(1, 1, 0)","(0, 1, 1, 30)",47.069309052525306,51.64067821644969
monthly_approximation,"(1, 1, 0)","(1, 0, 0, 30)",46.086284922303555,50.630405658146536
monthly_approximation,"(1, 1, 0)","(1, 0, 1, 30)",46.08399261913479,50.62815985083898
monthly_approximation,"(1, 1, 0)","(1, 1, 0, 30)",67.44774746495658,74.13074805493983
monthly_approximation,"(1, 1, 0)","(1, 1, 1, 30)",47.06412798447155,51.63524297974174
monthly_approximation,"(1, 1, 1)","(0, 0, 0, 30)",52.171409546112315,56.56198932916745
monthly_approximation,"(1, 1, 1)","(0, 0, 1, 30)",52.42376342784447,56.81899772083561
monthly_approximation,"(1, 1, 1)","(0, 1, 0, 30)",82.75257448074757,91.29258536961122
