epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,633.31,1.43344,1.20303,1.17764,0.98955,1,0.995,0.57333,1.41438,1.36881,1.16381,0.00191486,0.00191486,0.00191486
45,647.233,1.55059,1.47797,1.24934,0.98955,1,0.995,0.57333,1.41438,1.36881,1.16381,0.00191288,0.00191288,0.00191288
46,661.215,1.36367,1.2291,1.18306,0.99379,1,0.995,0.61896,1.37437,1.33705,1.11025,0.0019109,0.0019109,0.0019109
47,675.045,1.35512,1.13722,1.13614,0.99092,1,0.995,0.63098,1.33876,1.30574,1.08615,0.00190892,0.00190892,0.00190892
48,689.591,1.4238,1.17243,1.12952,0.99325,1,0.995,0.65178,1.32193,1.27205,1.09582,0.00190694,0.00190694,0.00190694
49,704.271,1.32054,1.2138,1.13567,0.99325,1,0.995,0.65178,1.32193,1.27205,1.09582,0.00190496,0.00190496,0.00190496
50,719.461,1.29345,1.12346,1.11053,0.99376,1,0.995,0.5956,1.39314,1.29394,1.13263,0.00190298,0.00190298,0.00190298
51,734.697,1.29953,1.29867,1.15204,0.9927,1,0.995,0.59157,1.42245,1.28207,1.12652,0.001901,0.001901,0.001901
52,749.509,1.33129,1.21202,1.16275,0.99406,1,0.995,0.59415,1.33389,1.26011,1.07524,0.00189902,0.00189902,0.00189902
53,764.157,1.35152,1.20153,1.11507,0.99406,1,0.995,0.59415,1.33389,1.26011,1.07524,0.00189704,0.00189704,0.00189704
54,778.923,1.2499,1.14867,1.0923,0.99165,1,0.995,0.62037,1.36579,1.22616,1.1129,0.00189506,0.00189506,0.00189506
55,793.741,1.32622,1.16809,1.17215,0.99552,1,0.995,0.57168,1.42781,1.22413,1.17455,0.00189308,0.00189308,0.00189308
56,808.409,1.25892,1.09272,1.11144,0.99513,1,0.995,0.5762,1.45752,1.20126,1.20723,0.0018911,0.0018911,0.0018911
57,822.639,1.22775,1.08216,1.12927,0.99513,1,0.995,0.5762,1.45752,1.20126,1.20723,0.00188912,0.00188912,0.00188912
58,836.757,1.23973,1.01834,1.04394,0.9933,1,0.995,0.58397,1.43791,1.21552,1.16347,0.00188714,0.00188714,0.00188714
59,851.238,1.32931,1.14518,1.15647,0.99457,1,0.995,0.55983,1.46321,1.13695,1.14162,0.00188516,0.00188516,0.00188516
60,865.711,1.30848,1.03959,1.09614,0.99473,1,0.995,0.52701,1.53573,1.16873,1.15875,0.00188318,0.00188318,0.00188318
61,879.805,1.35439,1.26448,1.1538,0.99473,1,0.995,0.52701,1.53573,1.16873,1.15875,0.0018812,0.0018812,0.0018812
62,894.554,1.37153,1.02673,1.15421,0.9947,1,0.995,0.54396,1.58826,1.20232,1.19651,0.00187922,0.00187922,0.00187922
63,909.272,1.31618,1.08943,1.20855,0.99454,1,0.995,0.57516,1.56003,1.17008,1.15833,0.00187724,0.00187724,0.00187724
64,924.024,1.30818,1.03424,1.10575,0.99428,1,0.995,0.53933,1.53709,1.07394,1.13023,0.00187526,0.00187526,0.00187526
65,938.319,1.32372,1.04636,1.14981,0.99428,1,0.995,0.53933,1.53709,1.07394,1.13023,0.00187328,0.00187328,0.00187328
66,953.015,1.1267,0.98139,1.08975,0.99413,1,0.995,0.58878,1.42413,1.0529,1.0979,0.0018713,0.0018713,0.0018713
67,967.173,1.25739,1.00968,1.10208,0.99451,1,0.995,0.58457,1.45689,1.02312,1.11685,0.00186932,0.00186932,0.00186932
68,981.453,1.24191,1.04496,1.11989,0.99349,1,0.995,0.58081,1.40213,1.04079,1.10868,0.00186734,0.00186734,0.00186734
69,995.843,1.18446,0.93567,1.08563,0.99349,1,0.995,0.58081,1.40213,1.04079,1.10868,0.00186536,0.00186536,0.00186536
70,1010.15,1.20724,0.96527,1.07774,0.9944,1,0.995,0.62341,1.36848,1.01118,1.09498,0.00186338,0.00186338,0.00186338
71,1024.38,1.10178,0.98317,1.04984,0.99337,1,0.995,0.59665,1.36294,1.01893,1.10628,0.0018614,0.0018614,0.0018614
72,1038.85,1.21547,0.8752,1.06097,0.99545,1,0.995,0.59471,1.40932,1.0413,1.15856,0.00185942,0.00185942,0.00185942
73,1053.04,1.22087,0.90705,1.10387,0.99545,1,0.995,0.59471,1.40932,1.0413,1.15856,0.00185744,0.00185744,0.00185744
74,1067.43,1.26278,1.01746,1.1574,0.99112,1,0.995,0.52278,1.47108,1.03069,1.20782,0.00185546,0.00185546,0.00185546
75,1081.98,1.17411,0.88274,1.10746,0.99118,1,0.995,0.55522,1.48879,1.01811,1.23919,0.00185348,0.00185348,0.00185348
76,1096.11,1.12877,0.8848,1.07042,0.99136,1,0.995,0.61114,1.45929,0.95393,1.1984,0.0018515,0.0018515,0.0018515
77,1110.4,1.21548,0.92962,1.09236,0.99136,1,0.995,0.61114,1.45929,0.95393,1.1984,0.00184952,0.00184952,0.00184952
78,1124.92,1.08766,0.93789,1.03196,0.99402,1,0.995,0.60582,1.46557,0.904,1.18975,0.00184754,0.00184754,0.00184754
79,1139.49,1.20155,0.9483,1.06355,0.99423,1,0.995,0.57345,1.53545,0.92554,1.21763,0.00184556,0.00184556,0.00184556
80,1153.84,1.35644,0.94028,1.16443,0.99394,1,0.995,0.56584,1.54716,0.9252,1.22568,0.00184358,0.00184358,0.00184358
81,1168.46,1.19466,0.91938,1.11251,0.99394,1,0.995,0.56584,1.54716,0.9252,1.22568,0.0018416,0.0018416,0.0018416
82,1183.72,1.12311,0.91391,1.05316,0.99357,1,0.995,0.55419,1.47785,0.93931,1.19013,0.00183962,0.00183962,0.00183962
83,1199.35,1.11547,0.89628,1.04496,0.99407,1,0.995,0.59418,1.47492,0.93137,1.19192,0.00183764,0.00183764,0.00183764
84,1214.98,1.13428,0.83094,1.04055,0.99497,1,0.995,0.57426,1.42303,0.98411,1.15516,0.00183566,0.00183566,0.00183566
85,1230.94,1.12083,0.88743,1.03582,0.99497,1,0.995,0.57426,1.42303,0.98411,1.15516,0.00183368,0.00183368,0.00183368
86,1247.05,1.17146,0.9523,1.02561,0.99472,1,0.995,0.57144,1.45295,1.03561,1.14355,0.0018317,0.0018317,0.0018317
87,1262.3,1.12436,0.95965,1.0176,0.99375,1,0.995,0.56025,1.49205,0.9824,1.14589,0.00182972,0.00182972,0.00182972
88,1277.09,1.06928,0.81491,1.01768,0.99446,1,0.995,0.57112,1.52922,0.99458,1.16819,0.00182774,0.00182774,0.00182774
89,1291.4,1.15802,0.88373,1.07607,0.99446,1,0.995,0.57112,1.52922,0.99458,1.16819,0.00182576,0.00182576,0.00182576
90,1308.92,1.09267,0.88618,1.01722,0.99202,1,0.995,0.57676,1.52295,0.98595,1.16329,0.00182378,0.00182378,0.00182378
91,1323.39,1.062,0.86283,1.00666,0.99234,1,0.995,0.62474,1.43957,0.95488,1.15628,0.0018218,0.0018218,0.0018218
92,1337.78,1.13037,0.98467,1.07793,0.99429,1,0.995,0.61995,1.38749,0.96559,1.1541,0.00181982,0.00181982,0.00181982
93,1351.92,0.99825,0.77896,1.00543,0.99429,1,0.995,0.61995,1.38749,0.96559,1.1541,0.00181784,0.00181784,0.00181784
94,1366.36,1.01395,0.744,0.98462,0.99447,1,0.995,0.60836,1.4303,0.93942,1.17062,0.00181586,0.00181586,0.00181586
95,1380.64,1.02644,0.76815,0.98759,0.99457,1,0.995,0.58897,1.47644,0.92266,1.1732,0.00181388,0.00181388,0.00181388
96,1394.91,1.0377,0.79253,1.00473,0.99585,1,0.995,0.592,1.4868,0.88035,1.16825,0.0018119,0.0018119,0.0018119
97,1409.6,1.11957,0.88922,1.06327,0.99585,1,0.995,0.592,1.4868,0.88035,1.16825,0.00180992,0.00180992,0.00180992
98,1425,1.07773,0.83569,1.02019,0.99602,1,0.995,0.60937,1.43859,0.8746,1.14406,0.00180794,0.00180794,0.00180794
99,1440.14,0.97026,0.71537,0.98286,0.99532,1,0.995,0.63645,1.39573,0.81219,1.1071,0.00180596,0.00180596,0.00180596
100,1455.08,1.06142,0.79138,1.01354,0.99504,1,0.995,0.61889,1.36807,0.80202,1.09774,0.00180398,0.00180398,0.00180398
101,1469.75,0.98666,0.72458,0.98589,0.99504,1,0.995,0.61889,1.36807,0.80202,1.09774,0.001802,0.001802,0.001802
102,1484.8,0.98329,0.82331,0.99231,0.99524,1,0.995,0.61606,1.40547,0.8365,1.12396,0.00180002,0.00180002,0.00180002
103,1501.02,1.0228,0.78375,0.99234,0.99484,1,0.995,0.60599,1.39497,0.86179,1.11796,0.00179804,0.00179804,0.00179804
104,1517.34,1.08981,0.79526,1.01083,0.99481,1,0.995,0.59502,1.40574,0.94489,1.12174,0.00179606,0.00179606,0.00179606
105,1534.02,0.9396,0.74216,0.96115,0.99481,1,0.995,0.59502,1.40574,0.94489,1.12174,0.00179408,0.00179408,0.00179408
106,1550.21,0.87538,0.68691,0.91828,0.99481,1,0.995,0.55597,1.5055,0.96217,1.15885,0.0017921,0.0017921,0.0017921
107,1565.77,0.98117,0.72583,0.93496,0.99562,1,0.995,0.59151,1.52879,0.9248,1.14364,0.00179012,0.00179012,0.00179012
108,1581.95,1.08659,0.8517,1.02596,0.99537,1,0.995,0.6094,1.46098,0.87551,1.11949,0.00178814,0.00178814,0.00178814
109,1597.57,0.98979,0.78093,0.97927,0.99537,1,0.995,0.6094,1.46098,0.87551,1.11949,0.00178616,0.00178616,0.00178616
110,1614.34,0.93584,0.73514,0.95556,0.99511,1,0.995,0.62322,1.40023,0.88008,1.167,0.00178418,0.00178418,0.00178418
111,1631.08,1.0561,0.79713,1.00647,0.99487,1,0.995,0.64566,1.43211,0.86559,1.19316,0.0017822,0.0017822,0.0017822
112,1646.84,1.09429,0.7731,1.02762,0.99512,1,0.995,0.61993,1.46442,0.88034,1.18743,0.00178022,0.00178022,0.00178022
113,1662.73,0.94683,0.73905,0.96841,0.99512,1,0.995,0.61993,1.46442,0.88034,1.18743,0.00177824,0.00177824,0.00177824
114,1678.39,0.95817,0.68946,0.97418,0.99512,1,0.995,0.6114,1.46456,0.89289,1.21375,0.00177626,0.00177626,0.00177626
115,1694.75,1.00349,0.75018,0.99422,0.99554,1,0.995,0.61077,1.42684,0.93904,1.25956,0.00177428,0.00177428,0.00177428
116,1710.61,0.99535,0.71596,0.97153,0.99551,1,0.995,0.58822,1.48066,0.86232,1.30183,0.0017723,0.0017723,0.0017723
117,1726.09,1.01784,0.75158,1.03409,0.99551,1,0.995,0.58822,1.48066,0.86232,1.30183,0.00177032,0.00177032,0.00177032
118,1740.75,0.87978,0.67326,0.94906,0.99541,1,0.995,0.58004,1.49558,0.83293,1.28641,0.00176834,0.00176834,0.00176834
119,1755.12,1.03462,0.83839,1.05635,0.99513,1,0.995,0.56041,1.5532,0.77112,1.27308,0.00176636,0.00176636,0.00176636
120,1769.74,1.08349,0.75115,1.01376,0.9947,1,0.995,0.56888,1.54484,0.76029,1.26846,0.00176438,0.00176438,0.00176438
121,1784.1,0.98565,0.747,1.03269,0.9947,1,0.995,0.56888,1.54484,0.76029,1.26846,0.0017624,0.0017624,0.0017624
